,person_id,portfolio_id,event_offer_completed,event_offer_received,event_offer_viewed
0,1,2906b810c7d4411798c6938adc9daaa5,1,1,0
1,1,3f207df678b143eea3cee63160fa8bed,0,1,1
2,1,5a8bc65990b245e5a138643cd4eb9837,0,1,1
3,1,f19421c1d4aa40978ebb69ca19b0e20d,1,1,1
4,1,fafdcd668e3743c1bb461111dcafc2a4,1,1,1
5,2,f19421c1d4aa40978ebb69ca19b0e20d,0,2,2
6,3,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,1
7,3,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1
8,3,3f207df678b143eea3cee63160fa8bed,0,1,1
9,3,5a8bc65990b245e5a138643cd4eb9837,0,1,1
10,3,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,1,1
11,4,4d5c57ea9a6940dd891ad53e9dbe8da0,1,1,1
12,4,5a8bc65990b245e5a138643cd4eb9837,0,1,1
13,4,ae264e3637204a6fb9bb56bc8210ddfd,0,1,0
14,4,fafdcd668e3743c1bb461111dcafc2a4,2,2,1
15,5,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1
16,5,5a8bc65990b245e5a138643cd4eb9837,0,1,1
17,5,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,1,1
18,5,f19421c1d4aa40978ebb69ca19b0e20d,1,1,1
19,6,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,0
20,6,3f207df678b143eea3cee63160fa8bed,0,1,1
21,6,5a8bc65990b245e5a138643cd4eb9837,0,1,1
22,6,fafdcd668e3743c1bb461111dcafc2a4,2,2,2
23,7,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,1,0
24,7,2906b810c7d4411798c6938adc9daaa5,0,2,0
25,7,5a8bc65990b245e5a138643cd4eb9837,0,1,1
26,7,fafdcd668e3743c1bb461111dcafc2a4,1,1,1
27,8,3f207df678b143eea3cee63160fa8bed,0,1,0
28,8,f19421c1d4aa40978ebb69ca19b0e20d,1,1,1
29,8,fafdcd668e3743c1bb461111dcafc2a4,1,1,1
30,9,ae264e3637204a6fb9bb56bc8210ddfd,1,1,0
31,9,f19421c1d4aa40978ebb69ca19b0e20d,2,2,2
32,9,fafdcd668e3743c1bb461111dcafc2a4,2,2,2
33,10,2906b810c7d4411798c6938adc9daaa5,0,1,0
34,10,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,1,0
35,10,ae264e3637204a6fb9bb56bc8210ddfd,0,3,3
36,11,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,1,0
37,11,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1
38,11,3f207df678b143eea3cee63160fa8bed,0,1,1
39,11,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,1,1
40,12,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,1,1
41,12,2298d6c36e964ae4a3e7e9706d1fb8c2,0,1,1
42,12,5a8bc65990b245e5a138643cd4eb9837,0,1,1
43,12,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,1,1
44,12,ae264e3637204a6fb9bb56bc8210ddfd,0,1,1
45,13,0b1e1539f2cc45b7b9fa7c272da2e1d7,0,1,0
46,13,2906b810c7d4411798c6938adc9daaa5,1,2,1
47,13,3f207df678b143eea3cee63160fa8bed,0,1,0
48,14,0b1e1539f2cc45b7b9fa7c272da2e1d7,2,2,1
49,14,2906b810c7d4411798c6938adc9daaa5,1,1,1
50,14,3f207df678b143eea3cee63160fa8bed,0,1,0
51,14,4d5c57ea9a6940dd891ad53e9dbe8da0,1,1,0
52,14,ae264e3637204a6fb9bb56bc8210ddfd,1,1,1
53,15,3f207df678b143eea3cee63160fa8bed,0,2,2
54,15,5a8bc65990b245e5a138643cd4eb9837,0,1,1
